vector,geo,dguid,gender,age_group,indicators,coordinate,value
v1793296725,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Satisfaction with wait time - Dissatisfied or very dissatisfied,3.2.1.6.4,28.8
v1793296732,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Life affected by wait time,3.2.1.7.4,62.7
v1793296788,Prince Edward Island,2021A000211,Men+,45 to 64 years,"Total, wait time - medical specialist",3.2.3.1.4,100.0
v1793296795,Prince Edward Island,2021A000211,Men+,45 to 64 years,"Wait time, less than 3 months",3.2.3.2.4,61.6
v1793296802,Prince Edward Island,2021A000211,Men+,45 to 64 years,"Wait time, 3 months to less than 6 months",3.2.3.3.4,10.2
v1793296809,Prince Edward Island,2021A000211,Men+,45 to 64 years,"Wait time, 6 months or more",3.2.3.4.4,28.2
v1793296816,Prince Edward Island,2021A000211,Men+,45 to 64 years,Satisfaction with wait time - Very satisfied or satisfied,3.2.3.5.4,52.9
v1793296823,Prince Edward Island,2021A000211,Men+,45 to 64 years,Satisfaction with wait time - Dissatisfied or very dissatisfied,3.2.3.6.4,30.2
v1793296830,Prince Edward Island,2021A000211,Men+,45 to 64 years,Life affected by wait time,3.2.3.7.4,64.1
v1793296837,Prince Edward Island,2021A000211,Men+,65 years and over,"Total, wait time - medical specialist",3.2.4.1.4,100.0
v1793296844,Prince Edward Island,2021A000211,Men+,65 years and over,"Wait time, less than 3 months",3.2.4.2.4,63.3
v1793296851,Prince Edward Island,2021A000211,Men+,65 years and over,"Wait time, 3 months to less than 6 months",3.2.4.3.4,16.6
v1793296858,Prince Edward Island,2021A000211,Men+,65 years and over,"Wait time, 6 months or more",3.2.4.4.4,20.1
v1793296865,Prince Edward Island,2021A000211,Men+,65 years and over,Satisfaction with wait time - Very satisfied or satisfied,3.2.4.5.4,66.0
