vector,geo,dguid,gender,age_group,indicators,coordinate,value
v1792535121,Canada (excluding territories),"",Men+,65 years and over,Perceived health - Fair or poor,1.2.4.3.4,23.4
v1792535128,Canada (excluding territories),"",Men+,65 years and over,Perceived mental health - Very good or excellent,1.2.4.4.4,63.3
v1792535135,Canada (excluding territories),"",Men+,65 years and over,Perceived mental health - Fair or poor,1.2.4.5.4,8.0
v1792535142,Canada (excluding territories),"",Men+,65 years and over,Has a regular health care provider,1.2.4.6.4,88.4
v1792535149,Canada (excluding territories),"",Men+,65 years and over,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,1.2.4.7.4,81.0
v1792535156,Canada (excluding territories),"",Men+,65 years and over,Quality of consultation in the past 12 months - Very good or excellent,1.2.4.8.4,79.6
v1792535163,Canada (excluding territories),"",Men+,65 years and over,Quality of consultation in the past 12 months - Fair or poor,1.2.4.9.4,5.5
v1792535170,Canada (excluding territories),"",Men+,65 years and over,Experienced difficulties getting non-urgent primary health care in the past 12 months,1.2.4.10.4,26.8
v1792535177,Canada (excluding territories),"",Men+,65 years and over,Consulted a medical specialist for an initial consultation in the past 12 months,1.2.4.11.4,45.7
v1792535184,Canada (excluding territories),"",Men+,65 years and over,Experienced difficulties getting specialist care in the past 12 months,1.2.4.12.4,25.0
v1792535191,Canada (excluding territories),"",Men+,65 years and over,Level of coordination between health care providers in the past 12 months - Very good or excellent,1.2.4.13.4,67.8
v1792535198,Canada (excluding territories),"",Men+,65 years and over,Level of coordination between health care providers in the past 12 months - Fair or poor,1.2.4.14.4,9.8
v1792535205,Canada (excluding territories),"",Men+,65 years and over,Experienced discrimination in a health care setting in the past 12 months,1.2.4.15.4,4.0
v1792535212,Canada (excluding territories),"",Men+,65 years and over,Had unmet health care needs in the past 12 months,1.2.4.16.4,12.4
v1792535219,Canada (excluding territories),"",Men+,65 years and over,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",1.2.4.17.4,6.7
v1792535226,Canada (excluding territories),"",Men+,65 years and over,Has insurance that covers all or part of the cost of prescription medications,1.2.4.18.4,68.9
v1792535233,Canada (excluding territories),"",Women+,"Total, 18 years and over",Has at least one chronic condition,1.3.1.1.4,54.5
v1792535240,Canada (excluding territories),"",Women+,"Total, 18 years and over",Perceived health - Very good or excellent,1.3.1.2.4,51.0
v1792535247,Canada (excluding territories),"",Women+,"Total, 18 years and over",Perceived health - Fair or poor,1.3.1.3.4,14.5
