"REF_DATE","GEO","DGUID","Gender","Age group","Indicators ","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced discrimination in a health care setting in the past 12 months","High 95% confidence interval, number of persons","Number","223","units","0","v1792534322","1.1.1.15.3","2164500","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced discrimination in a health care setting in the past 12 months","Percentage","Percent","239","units","0","v1792534323","1.1.1.15.4","7.7","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced discrimination in a health care setting in the past 12 months","Low 95% confidence interval, percentage","Percent","239","units","0","v1792534324","1.1.1.15.5","7.2","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced discrimination in a health care setting in the past 12 months","High 95% confidence interval, percentage","Percent","239","units","0","v1792534325","1.1.1.15.6","8.3","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced discrimination in a health care setting in the past 12 months","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1792534326","1.1.1.15.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Had unmet health care needs in the past 12 months","Number of persons","Number","223","units","0","v1792534327","1.1.1.16.1","7202600","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Had unmet health care needs in the past 12 months","Low 95% confidence interval, number of persons","Number","223","units","0","v1792534328","1.1.1.16.2","6939900","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Had unmet health care needs in the past 12 months","High 95% confidence interval, number of persons","Number","223","units","0","v1792534329","1.1.1.16.3","7450200","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Had unmet health care needs in the past 12 months","Percentage","Percent","239","units","0","v1792534330","1.1.1.16.4","22.4","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Had unmet health care needs in the past 12 months","Low 95% confidence interval, percentage","Percent","239","units","0","v1792534331","1.1.1.16.5","21.6","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Had unmet health care needs in the past 12 months","High 95% confidence interval, percentage","Percent","239","units","0","v1792534332","1.1.1.16.6","23.2","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Had unmet health care needs in the past 12 months","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1792534333","1.1.1.16.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months","Number of persons","Number","223","units","0","v1792534334","1.1.1.17.1","3081300","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months","Low 95% confidence interval, number of persons","Number","223","units","0","v1792534335","1.1.1.17.2","2902800","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months","High 95% confidence interval, number of persons","Number","223","units","0","v1792534336","1.1.1.17.3","3270200","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months","Percentage","Percent","239","units","0","v1792534337","1.1.1.17.4","13.3","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months","Low 95% confidence interval, percentage","Percent","239","units","0","v1792534338","1.1.1.17.5","12.6","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months","High 95% confidence interval, percentage","Percent","239","units","0","v1792534339","1.1.1.17.6","14.1","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1792534340","1.1.1.17.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has insurance that covers all or part of the cost of prescription medications","Number of persons","Number","223","units","0","v1792534341","1.1.1.18.1","24138000","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has insurance that covers all or part of the cost of prescription medications","Low 95% confidence interval, number of persons","Number","223","units","0","v1792534342","1.1.1.18.2","23864200","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has insurance that covers all or part of the cost of prescription medications","High 95% confidence interval, number of persons","Number","223","units","0","v1792534343","1.1.1.18.3","24423800","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has insurance that covers all or part of the cost of prescription medications","Percentage","Percent","239","units","0","v1792534344","1.1.1.18.4","77.5","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has insurance that covers all or part of the cost of prescription medications","Low 95% confidence interval, percentage","Percent","239","units","0","v1792534345","1.1.1.18.5","76.7","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has insurance that covers all or part of the cost of prescription medications","High 95% confidence interval, percentage","Percent","239","units","0","v1792534346","1.1.1.18.6","78.4","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Has insurance that covers all or part of the cost of prescription medications","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1792534347","1.1.1.18.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Has at least one chronic condition","Number of persons","Number","223","units","0","v1792534348","1.1.2.1.1","5254500","","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Has at least one chronic condition","Low 95% confidence interval, number of persons","Number","223","units","0","v1792534349","1.1.2.1.2","5003400","","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Has at least one chronic condition","High 95% confidence interval, number of persons","Number","223","units","0","v1792534350","1.1.2.1.3","5489400","","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Has at least one chronic condition","Percentage","Percent","239","units","0","v1792534351","1.1.2.1.4","35.7","","","","1"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Has at least one chronic condition","Low 95% confidence interval, percentage","Percent","239","units","0","v1792534352","1.1.2.1.5","34.1","","","","1"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Has at least one chronic condition","High 95% confidence interval, percentage","Percent","239","units","0","v1792534353","1.1.2.1.6","37.3","","","","1"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Has at least one chronic condition","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1792534354","1.1.2.1.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","18 to 44 years","Perceived health - Very good or excellent","Number of persons","Number","223","units","0","v1792534355","1.1.2.2.1","9118800","","","","0"
